perovskite_formula,precursors,solvents,solvent_ratio,molarity_M,additives,mix_temp_C,stir_time,filter_um,extraction_confidence,notes,pdf_file,llm_status,regex_precursors,regex_solvents,regex_molarity,regex_ratios
,[],[],,,[],,,,low,No perovskite ink formulation found in text - describes BTR organic compound characterization only,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2015_10.1038ncomms7013_A_molecular_nematic_liquid_crystalline_material_for_high-performance_organic_photovoltaics.pdf,ok,,,0.05 mm;0.326 mm;0.5 mm;100 mm,
CsPbClxBr3-x,"['CsCl', 'CsBr', 'PbBr2']",['DMSO'],,0.2,['PEABr'],,12h,,high,Pb2+ concentration specified as 0.2 M; PEABr added as x% molar ratio to PbBr2 for quasi-2D structure,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1038s41467-019-09011-5_Modulation_of_recombination_zone_position_for_quasi-two-dimensional_blue_perovskite_light-emitting_diodes_wit.pdf,ok,CsBr;PEABr;PbBr2,DMSO,0.2 M,
,[],[],,,[],,,,high,"Text discusses OLED fabrication and transparent conductive electrodes, not perovskite inks",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1039c9qm00716d_Recent_advances_in_organic_light-emitting_diodes_toward_smart_lighting_and_displays.pdf,ok,,,,3:11
CsPbBr3,"['CsBr', 'PbBr2']",['DMSO'],,0.25,"['PEACl', 'YCl3']",,,,high,Main perovskite is CsPbBr3 at 0.25 M; PEACl and YCl3 are added as separate solutions to form mixed dimensional structure,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1038s41467-019-13580-w_Efficient_sky-blue_perovskite_light-emitting_diodes_via_photoluminescence_enhancement.pdf,ok,CsBr;PbBr2,DMSO,0.25 M;1 M;1 mm,10:5633;1:1;1:2
Cs1.2FA0.3PbBr3-xClx,"['CsBr', 'FABr', 'PbBr2', 'PbCl2']",['DMSO'],,0.09-0.15,['TTDDA'],80,4h,,high,Variable Cl content (30-57%) with corresponding Pb2+ concentrations from 0.09-0.15 M; molar ratio CsBr:FABr:PbBr2:PbCl2:TTDDA = 1.2:0.3:x:y:0.1 where x+y=1,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1038s41467-020-20582-6_Mixed_halide_perovskites_for_spectrally_stable_and_high-efficiency_blue_light-emitting_diodes.pdf,ok,CsBr;FABr;PEABr;PbBr2;PbCl2,DMSO,0.09 M;0.11 M;0.13 M;0.15 M,0.4:0.6;0.9:1.1;1.2: 0.3;1: 3.5
,[],[],,,[],,,,low,Text discusses inkjet printing methods but contains no specific perovskite ink formulation details,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2020_10.1039d0cy00040j_Recent_advances_and_prospects_of_inkjet_printing_in_heterogeneous_catalysis.pdf,ok,,,,3:12
,"['MABr', 'MACl']",[],,2.25,[],,,,low,Text appears incomplete and fragmented. Only MABr and MACl precursors identified. Concentration range 1.40-2.25 M mentioned for perovskite inks but exact formulation unclear.,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2020_10.1038s41467-020-18940-5_Roll-to-roll_gravure-printed_flexible_perovskite_solar_cells_using_eco-friendly_antisolvent_bathing_with_wide.pdf,ok,MABr;MACl,isopropanol,1.40 M;1.69 M;1.97 M;10 mm;100 m;18 m;2.25 M;3 m;8 m,11:5146
FAPbI3,"['FAPbI3 crystal', 'MACl', 'PbI2']","['DMF', 'DMSO']",4:1,1.56,"['MACl', 'PbI2']",,,,medium,Uses pre-synthesized FAPbI3 crystal with MACl (0.35 equiv) and PbI2 dopant (0.12 mM). FAPbI3 crystal synthesis uses GBL solvent with 0.22 um filter,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2023_10.1038s41560-023-01249-0_Bifunctional_hole-shuttle_molecule_for_improved_interfacial_energy_level_alignment_and_defect_passivation_in_.pdf,ok,PbI2,DMF;DMSO;IPA;ethanol,0.12 mM;0.22 mm;1 M;1.0 M;1.56 M;2 mm,4:1
,[],[],,,[],,,,high,"Text discusses zinc-ion battery electrolytes, not perovskite materials",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2022_10.1007s40820-021-00782-5_Zinc_Anode_for_Mild_Aqueous_Zinc-Ion_Batteries_Challenges_Strategies_and_Perspectives.pdf,ok,,,1M,14:42
,,,,,,,,,,,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1038s41524-019-0173-4_New_frontiers_for_the_materials_genome_initiative.pdf,error: Expecting value: line 1 column 1 (char 0),,,,
MA1-xGuaxPbI3,"['MAI', 'GuaI', 'PbI2']",['DMSO'],,1.25,[],,,,high,"Variable composition with MAI/GuaI ratio changing from 1:0 to 0:1, PbI2 molarity kept at 1.25 M",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2017_10.1038s41560-017-0054-3_Large_guanidinium_cation_mixed_with_methylammonium_in_lead_iodide_perovskites_for_19_efficient_solar_cells.pdf,ok,MAI;PbI2,DMSO;acetonitrile;ethanol;isopropanol,5 mm,0:1;1:0;1:8;v/v
,[],[],,,[],,,,high,"Text describes dye-sensitized solar cells (DSCs) with I/I3- electrolyte, not halide perovskite materials",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1039d0cs01336f_Dye-sensitized_solar_cells_strike_back.pdf,ok,,,000 M;5.0 mm,2.5 : 1;3:12
,[],[],,,[],,,,low,Text contains biographical information and general research descriptions but no specific perovskite ink formulation details,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1039c9cs00757a_Printed_aerogels_chemistry_processing_and_applications.pdf,ok,,,,3:12
,[],[],,,[],,,,high,"No perovskite ink formulation found in text - discusses organic field-effect transistors, metal nanowires, and rollable displays",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2022_10.1038s41528-022-00133-3_Advances_in_flexible_organic_field-effect_transistors_and_their_applications_for_flexible_electronics.pdf,ok,,,,v/v
MAPbI3,"['PbI2', 'MAI']",['DMF'],,,"['HI', 'HPA', 'HCOOH', 'HCl']",,,,medium,Text discusses various acid additives and mentions FA0.83MA0.17 composition but main focus appears to be on MAPbI3 system. Limited quantitative formulation details provided.,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41528-018-0035-z_Defects_engineering_for_high-performance_perovskite_solar_cells.pdf,ok,MAI;PbI2,DMF,,
PEA2(CsPbBr3)n-1PbBr4,,"['DMSO', 'DMF', 'NMP']",,,['YCl3'],,,,low,Text discusses general strategies and multiple systems but lacks specific ink formulation details. YCl3 additive mentioned at 2% but unclear if wt% or mol%,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1038s41377-021-00501-0_High-performance_quasi-2D_perovskite_light-emitting_diodes_from_materials_to_devices.pdf,ok,,DMF;DMSO;NMP,,10:61
MAPbI3,"['PbI2', 'MAI']","['DMF', 'GBL', 'DMSO']",,,['MABr'],,,,medium,Text mentions precursor solution of PbI2 and MAI in DMF or GBL/DMSO but no specific concentrations given. MABr used as post-treatment at 2 mg/mL,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2016_10.1038ncomms12305_Facile_fabrication_of_large-grain_CH3NH3PbI3xBrx_films_for_high-efficiency_solar_cells_via_CH3NH3Br-selective_Ostwal.pdf,ok,MABr;MAI;PbI2,DMSO;IPA,,7:12305
,,,,,,,,,low,Text discusses general SDL methodology and applications but contains no specific perovskite ink formulation data,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2023_10.1038s44160-022-00231-0_The_rise_of_self-driving_labs_in_chemical_and_materials_sciences.pdf,ok,,,,
,[],[],,,[],,,,high,"Text describes bismuth-based compounds (BiVO4, BiPO4, Bi2Te3, BiOCl, BiFeO3) but no halide perovskite materials",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2020_10.1039c9cs00283a_The_versatile_biomedical_applications_of_bismuth-based_nanoparticles_and_composites_therapeutic_diagnostic_biosensing.pdf,ok,,2-methoxyethanol;DMF;ethanol;methoxyethanol,12 mm;6 mm,2 : 1;3:12;v/v
CsPbBr3,"['CsTFA', 'PbBr2', 'CsBr']",['DMSO'],,,[],,,,low,"Text discusses CsTFA-derived vs CsBr-derived films but lacks specific concentration, preparation details. CsTFA•PbBr2•DMSO complex formation mentioned.",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1038s41467-019-08425-5_Trifluoroacetate_induced_small-grained_CsPbBr3_perovskite_films_result_in_efficient_and_stable_light-emitting.pdf,ok,CsBr;PbBr2,DMSO,,10:665
,['Pb-MOF'],"['DMSO', 'ethanol', 'ethylene glycol']",,,[],,,,low,"This describes a Pb-MOF precursor ink for security printing, not a traditional halide perovskite ink. The system converts to perovskite NCs after printing but formulation details are minimal.",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2017_10.1038s41467-017-01248-2_Conversion_of_invisible_metal-organic_frameworks_to_luminescent_perovskite_nanocrystals_for_confidential_info.pdf,ok,MABr,DMSO;ethanol,,8: 1138
Cs0.1FA0.9PbI3,"['FAI', 'CsI', 'PbI2']",['DMF'],,0.115,['TTDDA'],,,,high,Concentration given as 0.115 M based on PbI2; stoichiometry ratio (0.1CsI + 0.9FAI):PbI2 = x where x = 1.0-3.0; TTDDA additive at 17.2 mM,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1038s41467-019-10612-3_Unveiling_the_synergistic_effect_of_precursor_stoichiometry_and_interfacial_reactions_for_perovskite_light-em.pdf,ok,CsI;FAI;MAI;PbI2,DMF,0.115 M;0.15 M;17.2 mM,2.5:1
,"['RbBr', 'CsBr', 'PbBr2', 'PEABr']",['DMSO'],,,,,,0.45,low,Text mentions RbBr-rich perovskite with n=3 but exact stoichiometry unclear; concentration and mixing conditions not specified,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1038s41467-019-09794-7_Spectra_stable_blue_perovskite_light-emitting_diodes.pdf,ok,CsBr;PEABr;PbBr2,DMSO,,
,[],[],,,[],,,,high,"Text discusses PEMWE (proton exchange membrane water electrolysis) and MEA fabrication, not perovskite materials or inks",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2022_10.26599nre.2022.9120032_Status_and_perspectives_of_key_materials_for_PEM_electrolyzer.pdf,ok,,,,
,,,,,,,,,high,"Text discusses nickel sulfide catalysts for hydrogen evolution reactions, not perovskite materials",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1007s41918-018-0014-z_Recent_Progresses_in_Electrocatalysts_for_Water_Electrolysis.pdf,ok,,,,1:483
MAPbI3-xClx,"['Pb(NO3)2', 'MAI', 'MACl']","['ethanol', 'water', 'isopropanol']",2:1,0.1,['MACl'],,,,high,"Sequential deposition method: Pb(NO3)2 in EtOH/water, then MAI/MACl in IPA. MACl concentrations varied (0.045-0.090 M)",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2020_10.1039d0ra06074g_Facile_all-dip-coating_deposition_of_highly_efficient_CHsub3subsub3subNPbIsub3xsubClsubxsub_perovskite_materials_from.pdf,ok,MACl;MAI,IPA;acetonitrile;ethanol;isopropanol,0.090 M;0.1 M;10 m,2 : 1;3:12;v/v
(C4H9NH3)2PbBr4,,,,,,,,,low,Text describes drop casting of very dilute precursor solution but does not provide specific ink formulation details. Only mentions (C4H9NH3)2PbBr4 2D perovskite preparation method without precursor or solvent specifics.,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2016_10.1038am.2016.167_Colloidal_lead_halide_perovskite_nanocrystals_synthesis_optical_properties_and_applications.pdf,ok,,,,
,[],[],,,[],,,,high,"This text describes organic solar cell (OSC) fabrication with polymer materials PM6 and BTP-eC9, not perovskite materials",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1038s41467-021-25148-8_Graded_bulk-heterojunction_enables_17_binary_organic_solar_cells_via_nonhalogenated_open_air_coating.pdf,ok,,isopropanol,,12:4815;1:1.2
MAPbI3,"['PbI2', 'MAI']","['DMF', 'IPA']",,,[],,,,medium,"Sequential deposition method described - PbI2 in DMF, then MAI in iso-propanol. Limited concentration details provided.",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2017_10.1039c7ee01674c_Impact_of_Hsub2subO_on_organicinorganic_hybrid_perovskite_solar_cells.pdf,ok,MAI;PbI2,DMF,,3:13
CsPbBr3,"['CsBr', 'PbBr2']","['H2O', 'DMF']",,1.0,"['oleic acid', 'n-octylamine']",,,,medium,Calculated molarity from CsBr: 2.0 mmol in 2.0 mL = 1.0 M; this is a nanocrystal synthesis with anti-solvent precipitation method,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1038s41467-019-10634-x_Lead_halide_perovskites_for_photocatalytic_organic_synthesis.pdf,ok,CsBr;PbBr2,DMF,,
,[],[],,,[],,,,high,"Text describes NiO precursor ink for organic solar cells, not perovskite ink formulation",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2017_10.1038s41598-017-01897-9_Inkjet_printing_of_NiO_films_and_integration_as_hole_transporting_layers_in_polymer_solar_cells.pdf,ok,,ethanol,0.44 M,7: 1775
BA2Csn-1PbnBr3n+1,"['CsBr', 'PbBr2', 'BABr']",['DMSO'],,,"['CsMeS', 'PEO']",,,,medium,Quasi-2D perovskite with variable n value; CsMeS ratio defined as molar ratio to PbBr2 (x%-MeS); specific concentrations not provided,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1038s41467-021-21522-8_Smoothing_the_energy_transfer_pathway_in_quasi-2D_perovskite_films_using_methanesulfonate_leads_to_highly_eff.pdf,ok,CsBr;PbBr2,DMSO,,12:1246;1:1.2;4:6
,[],[],,,[],,,,high,Text discusses III-V solar cells and tandem technologies but contains no perovskite ink formulation information,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2020_10.10881361-6463ab9c6a_The_2020_photovoltaic_technologies_roadmap.pdf,ok,,,,
,,,,,,,,,high,"Text discusses graphene oxide materials and flexible electronics, not perovskite ink formulations",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.3389fphy.2018.00149_Graphene_Oxide_and_Derivatives_The_Place_in_Graphene_Family.pdf,ok,,NMP,,106:041901;113:15801;113:9921;128:172;12:6640;16:75;27:2731;2:343;4:5245;5:2971;6:3553;8:1834;9:4646
,,,,,,,,,high,"No perovskite ink formulation found - text discusses 2D materials like MoS2, TMDCs, and hBN synthesis",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2020_10.1007s40820-020-0402-x_Two-Dimensional_Materials_in_Large-Areas_Synthesis_Properties_and_Applications.pdf,ok,,,,12:66
,[],[],,,[],,,,high,"Text describes battery electrochemistry and redox flow batteries, contains no perovskite ink formulation information",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2014_10.3389fchem.2014.00079_Emerging_electrochemical_energy_conversion_and_storage_technologies.pdf,ok,,acetonitrile,0.02 M;0.05 M;0.1 M;0.25 M;0.4 M;0.5 M;1 M;1.5 M;2 M;3 M;5 M;6 M,
,[],[],,,[],,,,high,"This text discusses dye-sensitized solar cell (DSSC) electrolytes, not perovskite ink formulations",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2015_10.1039c4cs00456f_Aqueous_dye-sensitized_solar_cells.pdf,ok,,ACN;GBL;NMP,0.10 M;0.20 M;0.30 M;0.50 M;0.58 M;10 mM;16 m;17 m;50 mM;60 mM,35:65
,[],[],,,[],,,,low,"Text appears to be about nanocellulose materials, not perovskite ink formulation",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2022_10.1007s40820-022-00849-x_Cellulose_Nanopaper_Fabrication_Functionalization_and_Applications.pdf,ok,,,,14:104
,[],[],,,[],,,,low,Text describes aerosol jet printing technology but contains no perovskite ink formulation information,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1007s00170-019-03438-2_A_review_of_aerosol_jet_printinga_non-traditional_hybrid_process_for_micro-manufacturing.pdf,ok,,,,105:4599
,,,,,,,,,high,"Text describes pulsed laser synthesis of various nanomaterials including ZnO, but contains no perovskite ink formulation information",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2022_10.1038s41377-022-00904-7_Fundamentals_and_comprehensive_insights_on_pulsed_laser_synthesis_of_advanced_materials_for_diverse_photo-_an.pdf,ok,,ethanol,,11:250
,[],[],,,[],,,,low,Text discusses perovskite devices and mentions 'perovskite ink' but provides no specific formulation details,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2023_10.1007s40820-023-01140-3_Advances_in_the_Application_of_Perovskite_Materials.pdf,ok,,,,15:177
CsPbBr3,,,,,,,,,low,Text mentions CsPbBr3 p-CQDs but provides no ink formulation details - only discusses optical properties and lasing thresholds,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1038s41578-020-00274-9_Colloidal_quantum_dot_lasers.pdf,ok,,,,
,[],[],,,"['Cu(thiourea)Cl', 'thiosemicarbazide']",,,,low,Text mentions additives Cu(Tu)Cl and thiosemicarbazide for synergistic doping but lacks complete perovskite ink formulation details,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2023_10.1039d2ra05903g_Stability_of_perovskite_solar_cells_issues_and_prospects.pdf,ok,,,1 mm,
,[],[],,,[],,,,low,Text describes device fabrication but does not contain perovskite ink formulation details,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2020_10.1038s41467-020-16831-3_Bio-inspired_vertebral_design_for_scalable_and_flexible_perovskite_solar_cells.pdf,ok,PbBr2;PbI2,DMF;DMSO;ethanol,10 mm;3 mm,11:3016
MAPbI3,"['MAI', 'PbI2']","['DMF', 'DMSO', 'GBL']",,,"['HI', 'MACl']",,,,medium,"General discussion of MAPbI3 synthesis methods, mentions PbCl2 method and solvent dripping technique but no specific concentrations given",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2016_10.1039c6ee01137c_Progress_challenges_and_perspectives_in_flexible_perovskite_solar_cells.pdf,ok,PbCl2;PbI2,DMF;DMSO;GBL,,
MASnI3,"['SnI2', 'MAI']","['DMF', 'NMP', 'GBL', 'DMSO']",,,[],,,,medium,"MAI concentration given as 6-40 mg/mL, molecular weight needed for molarity conversion. Multiple solvents mentioned for MASnI3 films but specific formulation details limited.",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1007s40820-020-00578-z_Lead-Free_Perovskite_Materials_for_Solar_Cells.pdf,ok,MAI;PEAI;SnI2,DMF;DMSO;GBL;NMP,,13:62
,,,,,,,,,low,"Text is cut off mid-sentence during perovskite fabrication section. Only mentions precursor concentrations of 1.4M, 1.7M, 2.0M without specifying composition or solvents.",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2020_10.1038s41467-020-15077-3_Enhanced_optical_path_and_electron_diffusion_length_enable_high-efficiency_perovskite_tandems.pdf,ok,CsI;FAI;MABr;PbBr2;PbI2,DMF;DMSO,0.02 M;0.04 M;0.1 M;1.4 M;1.7 M;2.0 M,11:1257;1:4;1:6;4:1;96:4
,[],[],,,[],,,,high,"Text describes Ir catalyst ink formulation for electrochemical analysis, not perovskite ink",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2020_10.1038s41467-020-18686-0_Highly_efficient_oxygen_evolution_reaction_via_facile_bubble_transport_realized_by_three-dimensionally_stack-.pdf,ok,,,,
,[],[],,,[],,,,high,"This text discusses organic photovoltaics (OPV) with polymer semiconductors and acceptors like PCBM, IDTBR, Y6, and ITIC. No perovskite ink formulation information is present.",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.10882058-8585abf986_The_2021_flexible_and_printed_electronics_roadmap.pdf,ok,,,1 m;172 mm;40 m;6 m;600 m,
,[],[],,,[],,,,high,"Text discusses dye-sensitized solar cells (DSSCs) and electrolyte formulations, not perovskite inks",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1039d1ta00690h_Advanced_research_trends_in_dye-sensitized_solar_cells.pdf,ok,,DMF;DMSO;acetonitrile,0.04 M;0.06 M;0.1 M;0.2 M;0.2 mM;0.5 M;0.6 M,3:13
CsxEA1-xPbBr3,"['CsBr', 'EABr', 'PbBr2']",['DMSO'],,0.1,[],,4h,,high,"Main perovskite is CsxEA1-xPbBr3 with 0.1 M PbBr2 concentration, stirred at room temperature",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2020_10.1038s41467-020-17943-6_Large_cation_ethylammonium_incorporated_perovskite_for_efficient_and_spectra_stable_blue_light-emitting_diode.pdf,ok,CsBr;PEABr;PbBr2,DMSO,0.1 M,1:2;2:1;3:1
Cs0.05(FA0.83MA0.17)0.95Pb(I0.9Br0.1)3,"['FAI', 'MAI', 'PbI2', 'PbBr2', 'CsI']","['DMF', 'DMSO']",4:1,,[],,,,high,"Total concentration given as 43.3 wt%, individual precursor molarities listed (0.948 M FAI, 0.192 M MAI, 1.02 M PbI2, 0.18 M PbBr2, 0.06 M CsI)",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1039c8ee01136b_Fractional_deviations_in_precursor_stoichiometry_dictate_the_properties_performance_and_stability_of_perovskite_photo.pdf,ok,CsI;FAI;MAI;PbBr2;PbI2,DMF;DMSO,0.06 M;0.18 M;0.192 M;0.948 M;1.02 M,1 : 0.95;4 : 1;v/v
