title,year,doi,openalex_id,cited_by,is_oa,pdf_url,landing_url,venue,pipeline_stage_reached
High Color Purity Lead‐Free Perovskite Light‐Emitting Diodes via Sn Stabilization,2020,10.1002/advs.201903213,https://openalex.org/W3009738470,224,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.201903213,https://doi.org/10.1002/advs.201903213,Advanced Science,search_only
"A review on lignin pyrolysis: pyrolytic behavior, mechanism, and relevant upgrading for improving process efficiency",2022,10.1186/s13068-022-02203-0,https://openalex.org/W4304175550,223,True,https://biotechnologyforbiofuels.biomedcentral.com/counter/pdf/10.1186/s13068-022-02203-0,https://doi.org/10.1186/s13068-022-02203-0,Biotechnology for Biofuels and Bioproducts,search_only
I<sub>2</sub> vapor-induced degradation of formamidinium lead iodide based perovskite solar cells under heat–light soaking conditions,2019,10.1039/c9ee02043h,https://openalex.org/W2967485397,223,True,https://pubs.rsc.org/en/content/articlepdf/2019/ee/c9ee02043h,https://doi.org/10.1039/c9ee02043h,Energy & Environmental Science,search_only
Interfacial self-healing polymer electrolytes for long-cycle solid-state lithium-sulfur batteries,2024,10.1038/s41467-023-43467-w,https://openalex.org/W4390670057,222,True,https://www.nature.com/articles/s41467-023-43467-w.pdf,https://doi.org/10.1038/s41467-023-43467-w,Nature Communications,pdf_downloaded
Organic interfacial materials for perovskite-based optoelectronic devices,2019,10.1039/c8ee02744g,https://openalex.org/W2913907848,222,True,https://pubs.rsc.org/en/content/articlepdf/2019/ee/c8ee02744g,https://doi.org/10.1039/c8ee02744g,Energy & Environmental Science,search_only
A Review on the Recent Advances in Battery Development and Energy Storage Technologies,2024,10.1155/2024/2329261,https://openalex.org/W4396730486,221,True,https://downloads.hindawi.com/journals/jre/2024/2329261.pdf,https://doi.org/10.1155/2024/2329261,Journal of Renewable Energy,search_only
Colloidal Quantum Nanostructures: Emerging Materials for Display Applications,2017,10.1002/anie.201708510,https://openalex.org/W2761167670,218,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.201708510,https://doi.org/10.1002/anie.201708510,Angewandte Chemie International Edition,search_only
Recent Advances in Ambipolar Transistors for Functional Applications,2019,10.1002/adfm.201902105,https://openalex.org/W2965987520,218,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.201902105,https://doi.org/10.1002/adfm.201902105,Advanced Functional Materials,search_only
Modulating crystal growth of formamidinium–caesium perovskites for over 200 cm2 photovoltaic sub-modules,2022,10.1038/s41560-022-01039-0,https://openalex.org/W4281640703,217,True,https://www.nature.com/articles/s41560-022-01039-0.pdf,https://doi.org/10.1038/s41560-022-01039-0,Nature Energy,search_only
Inkjet‐Printed Micrometer‐Thick Perovskite Solar Cells with Large Columnar Grains,2019,10.1002/aenm.201903184,https://openalex.org/W2995089958,214,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.201903184,https://doi.org/10.1002/aenm.201903184,Advanced Energy Materials,candidate
Inorganic and Organic Solution-Processed Thin Film Devices,2016,10.1007/s40820-016-0106-4,https://openalex.org/W2515513248,213,True,https://link.springer.com/content/pdf/10.1007%2Fs40820-016-0106-4.pdf,https://doi.org/10.1007/s40820-016-0106-4,Nano-Micro Letters,search_only
The role of carbon-based materials in enhancing the stability of perovskite solar cells,2020,10.1039/c9ee04030g,https://openalex.org/W3009327484,213,True,https://pubs.rsc.org/en/content/articlepdf/2020/ee/c9ee04030g,https://doi.org/10.1039/c9ee04030g,Energy & Environmental Science,search_only
"A Review on Printed Electronics: Fabrication Methods, Inks, Substrates, Applications and Environmental Impacts",2021,10.3390/jmmp5030089,https://openalex.org/W3167283458,212,True,https://www.mdpi.com/2504-4494/5/3/89/pdf?version=1628853717,https://doi.org/10.3390/jmmp5030089,Journal of Manufacturing and Materials Processing,candidate
Thermal engineering of FAPbI3 perovskite material via radiative thermal annealing and in situ XRD,2017,10.1038/ncomms14075,https://openalex.org/W2577877578,211,True,https://www.nature.com/articles/ncomms14075.pdf,https://doi.org/10.1038/ncomms14075,Nature Communications,search_only
In Situ Fabricated Perovskite Nanocrystals: A Revolution in Optical Materials,2018,10.1002/adom.201800380,https://openalex.org/W2809764554,207,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adom.201800380,https://doi.org/10.1002/adom.201800380,Advanced Optical Materials,search_only
Origin of Sn(<scp>ii</scp>) oxidation in tin halide perovskites,2020,10.1039/d0ma00245c,https://openalex.org/W3041192252,205,True,https://pubs.rsc.org/en/content/articlepdf/2020/ma/d0ma00245c,https://doi.org/10.1039/d0ma00245c,Materials Advances,search_only
Nanozyme-based electrochemical biosensors for disease biomarker detection,2020,10.1039/d0an00558d,https://openalex.org/W3022106866,204,True,https://pubs.rsc.org/en/content/articlepdf/2020/an/d0an00558d,https://doi.org/10.1039/d0an00558d,The Analyst,search_only
Highly efficient oxygen evolution reaction via facile bubble transport realized by three-dimensionally stack-printed catalysts,2020,10.1038/s41467-020-18686-0,https://openalex.org/W3089918156,203,True,https://www.nature.com/articles/s41467-020-18686-0.pdf,https://doi.org/10.1038/s41467-020-18686-0,Nature Communications,pdf_downloaded
"28.2%-efficient, outdoor-stable perovskite/silicon tandem solar cell",2021,10.1016/j.joule.2021.11.003,https://openalex.org/W3216961858,202,True,http://www.cell.com/article/S2542435121004992/pdf,https://doi.org/10.1016/j.joule.2021.11.003,Joule,search_only
A comprehensive review on the advancements and challenges in perovskite solar cell technology,2024,10.1039/d3ra07518d,https://openalex.org/W4391660369,202,True,https://pubs.rsc.org/en/content/articlepdf/2024/ra/d3ra07518d,https://doi.org/10.1039/d3ra07518d,RSC Advances,search_only
Chelating-agent-assisted control of CsPbBr3 quantum well growth enables stable blue perovskite emitters,2020,10.1038/s41467-020-17482-0,https://openalex.org/W3045073909,202,True,https://www.nature.com/articles/s41467-020-17482-0.pdf,https://doi.org/10.1038/s41467-020-17482-0,Nature Communications,search_only
Efficient and stable tin perovskite solar cells enabled by amorphous-polycrystalline structure,2020,10.1038/s41467-020-16561-6,https://openalex.org/W3031473594,200,True,https://www.nature.com/articles/s41467-020-16561-6.pdf,https://doi.org/10.1038/s41467-020-16561-6,Nature Communications,search_only
Functionalized Hydrogel-Based Wearable Gas and Humidity Sensors,2023,10.1007/s40820-023-01109-2,https://openalex.org/W4378070105,199,True,https://link.springer.com/content/pdf/10.1007/s40820-023-01109-2.pdf,https://doi.org/10.1007/s40820-023-01109-2,Nano-Micro Letters,search_only
Unveiling Roles of Tin Fluoride Additives in High‐Efficiency Low‐Bandgap Mixed Tin‐Lead Perovskite Solar Cells,2021,10.1002/aenm.202101045,https://openalex.org/W3175031406,198,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202101045,https://doi.org/10.1002/aenm.202101045,Advanced Energy Materials,search_only
Recent Progress in Transistor‐Based Optoelectronic Synapses: From Neuromorphic Computing to Artificial Sensory System,2021,10.1002/aisy.202000162,https://openalex.org/W3127020666,198,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aisy.202000162,https://doi.org/10.1002/aisy.202000162,Advanced Intelligent Systems,search_only
The 2021 flexible and printed electronics roadmap,2021,10.1088/2058-8585/abf986,https://openalex.org/W3175071746,198,True,https://iopscience.iop.org/article/10.1088/2058-8585/abf986/pdf,https://doi.org/10.1088/2058-8585/abf986,Flexible and Printed Electronics,search_only
MgO Nanoparticle Modified Anode for Highly Efficient SnO<sub>2</sub>‐Based Planar Perovskite Solar Cells,2017,10.1002/advs.201700031,https://openalex.org/W2611962825,196,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.201700031,https://doi.org/10.1002/advs.201700031,Advanced Science,search_only
Mechanical energy harvesting and self-powered electronic applications of textile-based piezoelectric nanogenerators: A systematic review,2023,10.1016/j.nanoen.2023.108414,https://openalex.org/W4362574885,194,True,https://ars.els-cdn.com/content/image/1-s2.0-S2211285523002513-ga1_lrg.jpg,https://doi.org/10.1016/j.nanoen.2023.108414,Nano Energy,search_only
Organic/Inorganic Metal Halide Perovskite Optoelectronic Devices beyond Solar Cells,2018,10.1002/advs.201700780,https://openalex.org/W2789335992,194,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.201700780,https://doi.org/10.1002/advs.201700780,Advanced Science,search_only
Spin polarized Fe1−Ti pairs for highly efficient electroreduction nitrate to ammonia,2024,10.1038/s41467-023-44469-4,https://openalex.org/W4390499483,193,True,https://www.nature.com/articles/s41467-023-44469-4.pdf,https://doi.org/10.1038/s41467-023-44469-4,Nature Communications,search_only
Wafer-scale single-crystal perovskite patterned thin films based on geometrically-confined lateral crystal growth,2017,10.1038/ncomms15882,https://openalex.org/W2727990094,192,True,https://www.nature.com/articles/ncomms15882.pdf,https://doi.org/10.1038/ncomms15882,Nature Communications,search_only
"Functional materials, device architecture, and flexibility of perovskite solar cell",2018,10.1007/s42247-018-0013-1,https://openalex.org/W2900485557,192,True,https://link.springer.com/content/pdf/10.1007/s42247-018-0013-1.pdf,https://doi.org/10.1007/s42247-018-0013-1,Emergent Materials,search_only
Strategies for Improving the Stability of Tin‐Based Perovskite (ASnX<sub>3</sub>) Solar Cells,2020,10.1002/advs.201903540,https://openalex.org/W3008746667,192,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.201903540,https://doi.org/10.1002/advs.201903540,Advanced Science,search_only
20.8% Slot‐Die Coated MAPbI<sub>3</sub> Perovskite Solar Cells by Optimal DMSO‐Content and Age of 2‐ME Based Precursor Inks,2021,10.1002/aenm.202003460,https://openalex.org/W3113214473,191,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202003460,https://doi.org/10.1002/aenm.202003460,Advanced Energy Materials,candidate
Slot-die coating of perovskite solar cells: An overview,2019,10.1016/j.mtcomm.2019.100808,https://openalex.org/W2995852576,191,True,https://ars.els-cdn.com/content/image/1-s2.0-S2352492819308414-ga1_lrg.jpg,https://doi.org/10.1016/j.mtcomm.2019.100808,Materials Today Communications,candidate
Precise Control of Perovskite Crystallization Kinetics via Sequential A‐Site Doping,2020,10.1002/adma.202004630,https://openalex.org/W3087584536,191,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202004630,https://doi.org/10.1002/adma.202004630,Advanced Materials,search_only
A Transparent Conductive Adhesive Laminate Electrode for High‐Efficiency Organic‐Inorganic Lead Halide Perovskite Solar Cells,2014,10.1002/adma.201403939,https://openalex.org/W2093278742,191,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.201403939,https://doi.org/10.1002/adma.201403939,Advanced Materials,search_only
"Flexible, transparent nanocellulose paper-based perovskite solar cells",2019,10.1038/s41528-019-0048-2,https://openalex.org/W2922385458,190,True,https://www.nature.com/articles/s41528-019-0048-2.pdf,https://doi.org/10.1038/s41528-019-0048-2,npj Flexible Electronics,search_only
"Utilization of Cellulose to Its Full Potential: A Review on Cellulose Dissolution, Regeneration, and Applications",2021,10.3390/polym13244344,https://openalex.org/W4200363465,190,True,https://www.mdpi.com/2073-4360/13/24/4344/pdf?version=1639561081,https://doi.org/10.3390/polym13244344,Polymers,search_only
Monolithic Perovskite‐Silicon Tandem Solar Cells: From the Lab to Fab?,2022,10.1002/adma.202106540,https://openalex.org/W4206115216,190,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202106540,https://doi.org/10.1002/adma.202106540,Advanced Materials,search_only
Wearable energy-smart ribbons for synchronous energy harvest and storage,2016,10.1038/ncomms13319,https://openalex.org/W2555179769,189,True,https://www.nature.com/articles/ncomms13319.pdf,https://doi.org/10.1038/ncomms13319,Nature Communications,search_only
Dielectric screening in perovskite photovoltaics,2021,10.1038/s41467-021-22783-z,https://openalex.org/W3157027928,189,True,https://www.nature.com/articles/s41467-021-22783-z.pdf,https://doi.org/10.1038/s41467-021-22783-z,Nature Communications,search_only
Stability of Perovskite Solar Cells: Degradation Mechanisms and Remedies,2021,10.3389/felec.2021.712785,https://openalex.org/W3195661742,188,True,https://www.frontiersin.org/articles/10.3389/felec.2021.712785/pdf,https://doi.org/10.3389/felec.2021.712785,Frontiers in Electronics,search_only
Recent advances in organic‐based materials for resistive memory applications,2020,10.1002/inf2.12120,https://openalex.org/W3023587085,187,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/inf2.12120,https://doi.org/10.1002/inf2.12120,InfoMat,search_only
Will organic–inorganic hybrid halide lead perovskites be eliminated from optoelectronic applications?,2019,10.1039/c8na00416a,https://openalex.org/W2910575422,187,True,https://pubs.rsc.org/en/content/articlepdf/2019/na/c8na00416a,https://doi.org/10.1039/c8na00416a,Nanoscale Advances,search_only
Perovskite Solar Cells: A Review of the Recent Advances,2022,10.3390/coatings12081089,https://openalex.org/W4289109253,186,True,https://www.mdpi.com/2079-6412/12/8/1089/pdf?version=1659432739,https://doi.org/10.3390/coatings12081089,Coatings,search_only
Solution-processed two-dimensional materials for next-generation photovoltaics,2021,10.1039/d1cs00106j,https://openalex.org/W3197798650,186,True,https://pubs.rsc.org/en/content/articlepdf/2021/cs/d1cs00106j,https://doi.org/10.1039/d1cs00106j,Chemical Society Reviews,search_only
"Tin perovskite solar cells with &gt;1,300 h of operational stability in N2 through a synergistic chemical engineering approach",2022,10.1016/j.joule.2022.02.014,https://openalex.org/W4220855049,186,True,http://www.cell.com/article/S2542435122000952/pdf,https://doi.org/10.1016/j.joule.2022.02.014,Joule,search_only
Review on Chemical Stability of Lead Halide Perovskite Solar Cells,2023,10.1007/s40820-023-01046-0,https://openalex.org/W4362475286,186,True,https://link.springer.com/content/pdf/10.1007/s40820-023-01046-0.pdf,https://doi.org/10.1007/s40820-023-01046-0,Nano-Micro Letters,search_only
Recent advances in solar photovoltaic materials and systems for energy storage applications: a review,2023,10.1186/s43088-023-00405-5,https://openalex.org/W4384523309,185,True,https://bjbas.springeropen.com/counter/pdf/10.1186/s43088-023-00405-5,https://doi.org/10.1186/s43088-023-00405-5,Beni-Suef University Journal of Basic and Applied Sciences,search_only
Anti-Solvent Crystallization Strategies for Highly Efficient Perovskite Solar Cells,2017,10.3390/cryst7100291,https://openalex.org/W2758650598,185,True,https://www.mdpi.com/2073-4352/7/10/291/pdf?version=1506670503,https://doi.org/10.3390/cryst7100291,Crystals,search_only
Ion-induced field screening as a dominant factor in perovskite solar cell operational stability,2024,10.1038/s41560-024-01487-w,https://openalex.org/W4393261943,184,True,https://www.nature.com/articles/s41560-024-01487-w.pdf,https://doi.org/10.1038/s41560-024-01487-w,Nature Energy,search_only
"Molecular Engineering Using an Anthanthrone Dye for Low‐Cost Hole Transport Materials: A Strategy for Dopant‐Free, High‐Efficiency, and Stable Perovskite Solar Cells",2018,10.1002/aenm.201703007,https://openalex.org/W2792284859,184,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.201703007,https://doi.org/10.1002/aenm.201703007,Advanced Energy Materials,search_only
Unveiling the synergistic effect of precursor stoichiometry and interfacial reactions for perovskite light-emitting diodes,2019,10.1038/s41467-019-10612-3,https://openalex.org/W2955901718,184,True,https://www.nature.com/articles/s41467-019-10612-3.pdf,https://doi.org/10.1038/s41467-019-10612-3,Nature Communications,pdf_downloaded
"Progress, highlights and perspectives on NiO in perovskite photovoltaics",2020,10.1039/d0sc02859b,https://openalex.org/W3040958692,183,True,https://pubs.rsc.org/en/content/articlepdf/2020/sc/d0sc02859b,https://doi.org/10.1039/d0sc02859b,Chemical Science,search_only
Recent progress for silver nanowires conducting film for flexible electronics,2021,10.1007/s40097-021-00436-3,https://openalex.org/W3187193456,183,True,https://link.springer.com/content/pdf/10.1007/s40097-021-00436-3.pdf,https://doi.org/10.1007/s40097-021-00436-3,Journal of nanostructure in chemistry,search_only
Synthesis and applications of nanoporous perovskite metal oxides,2018,10.1039/c7sc03920d,https://openalex.org/W2795985100,183,True,https://pubs.rsc.org/en/content/articlepdf/2018/sc/c7sc03920d,https://doi.org/10.1039/c7sc03920d,Chemical Science,search_only
Recent Progress of Metal–Air Batteries—A Mini Review,2019,10.3390/app9142787,https://openalex.org/W2956231099,183,True,https://www.mdpi.com/2076-3417/9/14/2787/pdf?version=1562836738,https://doi.org/10.3390/app9142787,Applied Sciences,search_only
Multication perovskite 2D/3D interfaces form via progressive dimensional reduction,2021,10.1038/s41467-021-23616-9,https://openalex.org/W3169569275,183,True,https://www.nature.com/articles/s41467-021-23616-9.pdf,https://doi.org/10.1038/s41467-021-23616-9,Nature Communications,search_only
A self-driving laboratory advances the Pareto front for material properties,2022,10.1038/s41467-022-28580-6,https://openalex.org/W4212913440,180,True,https://www.nature.com/articles/s41467-022-28580-6.pdf,https://doi.org/10.1038/s41467-022-28580-6,Nature Communications,search_only
Sn‐Based Perovskite for Highly Sensitive Photodetectors,2019,10.1002/advs.201900751,https://openalex.org/W2962564367,179,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.201900751,https://doi.org/10.1002/advs.201900751,Advanced Science,search_only
Multiple and Promising Applications of Strontium (Sr)-Containing Bioactive Glasses in Bone Tissue Engineering,2019,10.3389/fbioe.2019.00161,https://openalex.org/W2953846685,178,True,https://www.frontiersin.org/articles/10.3389/fbioe.2019.00161/pdf,https://doi.org/10.3389/fbioe.2019.00161,Frontiers in Bioengineering and Biotechnology,search_only
Lead‐Free Halide Double Perovskite Nanocrystals for Light‐Emitting Applications: Strategies for Boosting Efficiency and Stability,2021,10.1002/advs.202004118,https://openalex.org/W3135665969,178,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202004118,https://doi.org/10.1002/advs.202004118,Advanced Science,search_only
"Antiferroelectrics: History, fundamentals, crystal chemistry, crystal structures, size effects, and applications",2021,10.1111/jace.17834,https://openalex.org/W3148912309,178,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jace.17834,https://doi.org/10.1111/jace.17834,Journal of the American Ceramic Society,search_only
Memristor-based biomimetic compound eye for real-time collision detection,2021,10.1038/s41467-021-26314-8,https://openalex.org/W3205318724,178,True,https://www.nature.com/articles/s41467-021-26314-8.pdf,https://doi.org/10.1038/s41467-021-26314-8,Nature Communications,search_only
Overcoming C60-induced interfacial recombination in inverted perovskite solar cells by electron-transporting carborane,2022,10.1038/s41467-022-34203-x,https://openalex.org/W4311131750,177,True,https://www.nature.com/articles/s41467-022-34203-x.pdf,https://doi.org/10.1038/s41467-022-34203-x,Nature Communications,search_only
Efficiency and stability enhancement of perovskite solar cells by introducing CsPbI3 quantum dots as an interface engineering layer,2018,10.1038/s41427-018-0055-0,https://openalex.org/W2808352454,177,True,https://www.nature.com/articles/s41427-018-0055-0.pdf,https://doi.org/10.1038/s41427-018-0055-0,NPG Asia Materials,search_only
The expanding world of hybrid perovskites: materials properties and emerging applications,2015,10.1557/mrc.2015.6,https://openalex.org/W2073520154,176,True,https://link.springer.com/content/pdf/10.1557/mrc.2015.6.pdf,https://doi.org/10.1557/mrc.2015.6,MRS Communications,search_only
Tin Halide Perovskite (ASnX<sub>3</sub>) Solar Cells: A Comprehensive Guide toward the Highest Power Conversion Efficiency,2019,10.1002/aenm.201902467,https://openalex.org/W2978779587,175,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.201902467,https://doi.org/10.1002/aenm.201902467,Advanced Energy Materials,search_only
Rapid hybrid perovskite film crystallization from solution,2021,10.1039/d0cs01272f,https://openalex.org/W3162009576,175,True,https://pubs.rsc.org/en/content/articlepdf/2021/cs/d0cs01272f,https://doi.org/10.1039/d0cs01272f,Chemical Society Reviews,search_only
Application of intrinsically conducting polymers in flexible electronics,2021,10.1002/smm2.1059,https://openalex.org/W3194204240,174,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/smm2.1059,https://doi.org/10.1002/smm2.1059,SmartMat,search_only
Self-cycled photo-Fenton-like system based on an artificial leaf with a solar-to-H2O2 conversion efficiency of 1.46%,2022,10.1038/s41467-022-32410-0,https://openalex.org/W4293036653,174,True,https://www.nature.com/articles/s41467-022-32410-0.pdf,https://doi.org/10.1038/s41467-022-32410-0,Nature Communications,search_only
Enhancing the crystallinity and perfecting the orientation of formamidinium tin iodide for highly efficient Sn-based perovskite solar cells,2019,10.1016/j.nanoen.2019.04.040,https://openalex.org/W2938751855,174,True,https://ars.els-cdn.com/content/image/1-s2.0-S2211285519303416-fx1_lrg.jpg,https://doi.org/10.1016/j.nanoen.2019.04.040,Nano Energy,search_only
Nanocomposites based on lanthanide-doped upconversion nanoparticles: diverse designs and applications,2022,10.1038/s41377-022-00871-z,https://openalex.org/W4285087005,173,True,https://www.nature.com/articles/s41377-022-00871-z.pdf,https://doi.org/10.1038/s41377-022-00871-z,Light Science & Applications,search_only
Graphitic carbon nitride and polymers: a mutual combination for advanced properties,2019,10.1039/c9mh01497g,https://openalex.org/W2991239385,173,True,https://pubs.rsc.org/en/content/articlepdf/2020/mh/c9mh01497g,https://doi.org/10.1039/c9mh01497g,Materials Horizons,search_only
Lead‐Free Perovskite‐Inspired Absorbers for Indoor Photovoltaics,2020,10.1002/aenm.202002761,https://openalex.org/W3097414152,173,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202002761,https://doi.org/10.1002/aenm.202002761,Advanced Energy Materials,search_only
Printed Solar Cells and Energy Storage Devices on Paper Substrates,2019,10.1002/adfm.201806798,https://openalex.org/W2913018916,171,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.201806798,https://doi.org/10.1002/adfm.201806798,Advanced Functional Materials,search_only
Recycling lead and transparent conductors from perovskite solar modules,2021,10.1038/s41467-021-26121-1,https://openalex.org/W3203403144,170,True,https://www.nature.com/articles/s41467-021-26121-1.pdf,https://doi.org/10.1038/s41467-021-26121-1,Nature Communications,search_only
"Perovskite Solar Cells: A Review of the Latest Advances in Materials, Fabrication Techniques, and Stability Enhancement Strategies",2024,10.3390/mi15020192,https://openalex.org/W4391323435,168,True,https://www.mdpi.com/2072-666X/15/2/192/pdf?version=1706342230,https://doi.org/10.3390/mi15020192,Micromachines,search_only
Nature-inspired materials: Emerging trends and prospects,2021,10.1038/s41427-021-00322-y,https://openalex.org/W3179556812,168,True,https://www.nature.com/articles/s41427-021-00322-y.pdf,https://doi.org/10.1038/s41427-021-00322-y,NPG Asia Materials,search_only
Solution-processed highly bright and durable cesium lead halide perovskite light-emitting diodes,2016,10.1039/c6nr05330k,https://openalex.org/W2511857251,167,True,https://pubs.rsc.org/en/content/articlepdf/2016/nr/c6nr05330k,https://doi.org/10.1039/c6nr05330k,Nanoscale,search_only
Ruddlesden–Popper Perovskites: Synthesis and Optical Properties for Optoelectronic Applications,2019,10.1002/advs.201900941,https://openalex.org/W2980549847,167,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.201900941,https://doi.org/10.1002/advs.201900941,Advanced Science,search_only
Universal mobility characteristics of graphene originating from charge scattering by ionised impurities,2021,10.1038/s42005-021-00518-2,https://openalex.org/W3130060369,166,True,https://www.nature.com/articles/s42005-021-00518-2.pdf,https://doi.org/10.1038/s42005-021-00518-2,Communications Physics,search_only
Sol gel graphene/TiO2 nanoparticles for the photocatalytic-assisted sensing and abatement of NO2,2018,10.1016/j.apcatb.2018.10.032,https://openalex.org/W2896604138,166,True,https://ars.els-cdn.com/content/image/1-s2.0-S0926337318309883-ga1_lrg.jpg,https://doi.org/10.1016/j.apcatb.2018.10.032,Applied Catalysis B: Environmental,search_only
Designing principles of advanced sulfur cathodes toward practical lithium‐sulfur batteries,2022,10.1002/sus2.42,https://openalex.org/W4206924036,165,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/sus2.42,https://doi.org/10.1002/sus2.42,SusMat,search_only
Promoting Energy Transfer via Manipulation of Crystallization Kinetics of Quasi‐2D Perovskites for Efficient Green Light‐Emitting Diodes,2021,10.1002/adma.202102246,https://openalex.org/W3193524760,165,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202102246,https://doi.org/10.1002/adma.202102246,Advanced Materials,search_only
Bright and stable near-infrared lead-free perovskite light-emitting diodes,2024,10.1038/s41566-023-01351-5,https://openalex.org/W4390614324,165,True,https://www.nature.com/articles/s41566-023-01351-5.pdf,https://doi.org/10.1038/s41566-023-01351-5,Nature Photonics,search_only
A Review on Electrospun Nanofibers Based Advanced Applications: From Health Care to Energy Devices,2021,10.3390/polym13213746,https://openalex.org/W3211246923,165,True,https://www.mdpi.com/2073-4360/13/21/3746/pdf?version=1635741242,https://doi.org/10.3390/polym13213746,Polymers,search_only
Electrochemical Synthesis of Carbon Quantum Dots,2023,10.1002/celc.202201104,https://openalex.org/W4319841099,164,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/celc.202201104,https://doi.org/10.1002/celc.202201104,ChemElectroChem,search_only
"Fractional deviations in precursor stoichiometry dictate the properties, performance and stability of perovskite photovoltaic devices",2018,10.1039/c8ee01136b,https://openalex.org/W2891680217,164,True,https://pubs.rsc.org/en/content/articlepdf/2018/ee/c8ee01136b,https://doi.org/10.1039/c8ee01136b,Energy & Environmental Science,search_only
How to GIWAXS: Grazing Incidence Wide Angle X‐Ray Scattering Applied to Metal Halide Perovskite Thin Films,2023,10.1002/aenm.202300760,https://openalex.org/W4380263693,164,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202300760,https://doi.org/10.1002/aenm.202300760,Advanced Energy Materials,search_only
Efficient and bright warm-white electroluminescence from lead-free metal halides,2021,10.1038/s41467-021-21638-x,https://openalex.org/W3135623756,164,True,https://www.nature.com/articles/s41467-021-21638-x.pdf,https://doi.org/10.1038/s41467-021-21638-x,Nature Communications,search_only
Challenges and Progress in Lead‐Free Halide Double Perovskite Solar Cells,2023,10.1002/solr.202201112,https://openalex.org/W4317399033,164,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/solr.202201112,https://doi.org/10.1002/solr.202201112,Solar RRL,search_only
Exciton-polaron spectral structures in two-dimensional hybrid lead-halide perovskites,2018,10.1103/physrevmaterials.2.064605,https://openalex.org/W2792120617,163,True,http://link.aps.org/pdf/10.1103/PhysRevMaterials.2.064605,https://doi.org/10.1103/physrevmaterials.2.064605,Physical Review Materials,search_only
Electrospinning Piezoelectric Fibers for Biocompatible Devices,2019,10.1002/adhm.201901287,https://openalex.org/W2982904400,163,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adhm.201901287,https://doi.org/10.1002/adhm.201901287,Advanced Healthcare Materials,search_only
Integration of two-dimensional materials-based perovskite solar panels into a stand-alone solar farm,2022,10.1038/s41560-022-01035-4,https://openalex.org/W4283027391,163,True,https://www.nature.com/articles/s41560-022-01035-4.pdf,https://doi.org/10.1038/s41560-022-01035-4,Nature Energy,search_only
How machine learning can help select capping layers to suppress perovskite degradation,2020,10.1038/s41467-020-17945-4,https://openalex.org/W3064646198,162,True,https://www.nature.com/articles/s41467-020-17945-4.pdf,https://doi.org/10.1038/s41467-020-17945-4,Nature Communications,search_only
LiTFSI‐Free Spiro‐OMeTAD‐Based Perovskite Solar Cells with Power Conversion Efficiencies Exceeding 19%,2019,10.1002/aenm.201901519,https://openalex.org/W2961546531,162,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.201901519,https://doi.org/10.1002/aenm.201901519,Advanced Energy Materials,search_only
High-performance p-channel transistors with transparent Zn doped-CuI,2020,10.1038/s41467-020-18006-6,https://openalex.org/W3080292565,161,True,https://www.nature.com/articles/s41467-020-18006-6.pdf,https://doi.org/10.1038/s41467-020-18006-6,Nature Communications,search_only
Large-area and efficient perovskite light-emitting diodes via low-temperature blade-coating,2021,10.1038/s41467-020-20433-4,https://openalex.org/W3120128877,161,True,https://www.nature.com/articles/s41467-020-20433-4.pdf,https://doi.org/10.1038/s41467-020-20433-4,Nature Communications,pdf_downloaded
