perovskite_formula,precursors,solvents,solvent_ratio,molarity_M,additives,mix_temp_C,stir_time,filter_um,extraction_confidence,notes,pdf_file,llm_status,regex_precursors,regex_solvents,regex_molarity,regex_ratios
,"['FABr', 'PEABr', 'CsBr', 'PbBr2', 'NVAL']",['DMSO'],,0.4,['NVAL'],,,,medium,Quasi-2D bromide perovskite for PeLED; exact stoichiometry not specified in text. NVAL added at 8.0 mol% with respect to Pb. Detailed recipes referenced in Supplementary Table 6 but not provided in excerpt.,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2021_10.1038s41467-021-22529-x_High-performance_large-area_quasi-2D_perovskite_light-emitting_diodes.pdf,ok,CsBr;FABr;PEABr;PbBr2,DMSO;ethanol;methanol,0.4 M,1:1
Cs1.2FA0.3PbxBr(1+x)Cl(1-x),"['CsBr', 'FABr', 'PbBr2', 'PbCl2']",['DMSO'],,0.15,['TTDDA'],80,4h,,high,Molar ratio 1.2:0.3:x:y:0.1 where x+y=1; Pb2+ concentration varies with Cl content (0.15 M for 30-40% Cl shown as primary formulation),C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2021_10.1038s41467-020-20582-6_Mixed_halide_perovskites_for_spectrally_stable_and_high-efficiency_blue_light-emitting_diodes.pdf,ok,CsBr;FABr;PEABr;PbBr2;PbCl2,DMSO,0.09 M;0.11 M;0.13 M;0.15 M,0.4:0.6;0.9:1.1;1.2: 0.3;1: 3.5
CsPbBr3,"['CsBr', 'PbBr2', 'CsTFA']",['DMSO'],,,[],,,,low,"Text describes CsBr(1.7) and CsTFA(1.7) precursor solutions but does not provide explicit ink formulation details (molarity, solvent volumes, mixing conditions). DMSO inferred from mention of 'CsTFA•PbBr2•DMSO complex adduct'. The (1.7) notation likely refers to Cs:Pb molar ratio but full precursor composition and ink preparation method not specified in extracted text.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2019_10.1038s41467-019-08425-5_Trifluoroacetate_induced_small-grained_CsPbBr3_perovskite_films_result_in_efficient_and_stable_light-emitting.pdf,ok,CsBr;PbBr2,DMSO,,10:665
CsPbI3,"['HPbI3+x', 'CsI']","['DMF', 'DMSO']",9:1,,['PEAI'],,24h,,high,HPbI3+x is a mixed iodide precursor; PEAI added as 100 μl of 100 mg/mL DMF solution to the main precursor solution; exact molarity of main solution not calculable from mass and volume alone without density data,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2018_10.1038s41467-018-06915-6_All-inorganic_cesium_lead_iodide_perovskite_solar_cells_with_stabilized_efficiency_beyond_15.pdf,ok,CsI;PEAI,DMF;DMSO;acetonitrile,,9:1;9:4544;v/v
,[],"['DMSO', 'ethanol', 'ethylene glycol']",,,[],,,,low,"Text describes Pb-MOF (metal-organic framework) precursor solution, not a halide perovskite ABX3 ink. No perovskite stoichiometry, precursor salts, molarity, or processing parameters provided. This is not a perovskite precursor ink formulation.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2017_10.1038s41467-017-01248-2_Conversion_of_invisible_metal-organic_frameworks_to_luminescent_perovskite_nanocrystals_for_confidential_info.pdf,ok,MABr,DMSO;ethanol,,8: 1138
,"['PbBr2', 'MABr', 'PEABr']",['DMSO'],,,[],,,0.2,medium,Quasi-2D perovskite with PEABr spacer cation; exact stoichiometry and molarity not specified in text. MAPbBr3 mentioned as reference but full composition unclear.,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2017_10.1021acs.nanolett.7b00976_Tailoring_the_Energy_Landscape_in_Quasi-2D_Halide_Perovskites_Enables_Efficient_Green-Light_Emission.pdf,ok,MABr;PEABr;PbBr2,DMSO,,
Rb0.6Cs0.4PbBr3,"['RbBr', 'CsBr', 'PbBr2']",['DMSO'],,,['PEABr'],,,0.45,medium,Rb0.6 composition inferred from text; PEABr listed as material but role (additive vs. precursor) unclear from fragment; full stoichiometry and molarity not provided in excerpt,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2019_10.1038s41467-019-09794-7_Spectra_stable_blue_perovskite_light-emitting_diodes.pdf,ok,CsBr;PEABr;PbBr2,DMSO,,
,[],[],,,[],,,,low,"Text is a review article abstract/introduction discussing perovskite device architectures and applications. No specific perovskite ink formulation details (precursors, solvents, concentrations, processing parameters) are provided.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2023_10.1007s40820-023-01140-3_Advances_in_the_Application_of_Perovskite_Materials.pdf,ok,,,,15:177
,[],[],,,[],,,,low,"Text discusses perovskite nanocrystal synthesis and characterization but does not contain specific ink formulation details (precursor chemicals, solvents, concentrations, or processing parameters for a perovskite precursor solution).",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2016_10.1038am.2016.167_Colloidal_lead_halide_perovskite_nanocrystals_synthesis_optical_properties_and_applications.pdf,ok,,,,
Cs0.05(FA0.87MA0.13)0.95Pb(I0.9Br0.1)3,"['CsI', 'FAI', 'MAI', 'PbI2', 'PbBr2']","['DMF', 'DMSO']",4:1,1,[],180,,,high,Sequential solution method: PbI2 and PbBr2 dissolved in DMF:DMSO (4:1) at 180°C; CsI in pure DMSO at 150°C. Final combined solution is 1 M. Text truncated mid-sentence.,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2021_10.1038s41467-021-22049-8_A_general_approach_to_high-efficiency_perovskite_solar_cells_by_any_antisolvent.pdf,ok,CsI;FAI;MAI;PbBr2;PbI2,DMF;DMSO;IPA,1 M;1.1 M;1.155 M;2 M,0.05:0.85;0.95:1;4:1;5:1;v/v
CsPbBr3,"['CsBr', 'PbBr2']",['DMF'],,0.67,[],,,,medium,PbBr2 molarity calculated as 2.0 mmol in 3 mL DMF = 0.67 M. This is a nanocrystal synthesis using aqueous CsBr and DMF-dissolved PbBr2 added to hexane/oleic acid/n-octylamine mixture; not a traditional perovskite ink formulation for thin films.,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2019_10.1038s41467-019-10634-x_Lead_halide_perovskites_for_photocatalytic_organic_synthesis.pdf,ok,CsBr;PbBr2,DMF,,
BA2Csn-1PbnBr3n+1,"['CsBr', 'PbBr2', 'BABr']",['DMSO'],,,"['CsMeS', 'PEO']",,,,high,Quasi-2D perovskite with variable n. CsMeS added as molar ratio to PbBr2 (x%-MeS). PEO is polymer additive. Exact molarity and processing conditions not specified in extracted text.,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2021_10.1038s41467-021-21522-8_Smoothing_the_energy_transfer_pathway_in_quasi-2D_perovskite_films_using_methanesulfonate_leads_to_highly_eff.pdf,ok,CsBr;PbBr2,DMSO,,12:1246;1:1.2;4:6
,[],"['DMF', 'NMP', 'GBL', 'DMSO']",,,[],80,10 min,,low,"Text discusses multiple perovskite systems (CsSnI3, MASnI3, FASnI3, CsGeI3) but does not provide a complete single ink formulation with precursor amounts and stoichiometry. Only solvent names, annealing temperature, and annealing time are clearly stated. MAI concentration mentioned as 6-40 mg/mL but without SnI2 amounts, full formula cannot be determined.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2021_10.1007s40820-020-00578-z_Lead-Free_Perovskite_Materials_for_Solar_Cells.pdf,ok,MAI;PEAI;SnI2,DMF;DMSO;GBL;NMP,,13:62
,[],[],,,[],,,,low,"Text is a review article discussing perovskite stability, structure, and hole transport materials. No specific perovskite ink formulation details provided. Only mentions CH3NH3PbBr3 in theoretical context, not as an experimental synthesis protocol.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2017_10.1016j.nanoen.2017.02.025_Advances_in_hole_transport_materials_engineering_for_stable_and_efficient_perovskite_solar_cells.pdf,ok,,,,
MAPbI3,"['PbI2', 'CH3NH3I']",['GBL'],,,[],,,,high,40 wt% concentration in GBL; PbI2:CH3NH3I molar ratio 1:1. Text also mentions DMF/DMSO mixed solvent formulation but primary ink described uses GBL.,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2017_10.1002adma.201703737_Perovskite_Solar_Cells_with_ZnO_ElectronTransporting_Materials.pdf,ok,MAI;PbI2,DMF;DMSO;GBL;isopropanol,,1:1
,"['FAI', 'CsI', 'PbI2']",['DMF'],,0.115,['TTDDA'],,,,medium,Perovskite formula cannot be determined; molar ratio x varies from 1.0–3.0 for (0.1CsI + 0.9FAI):PbI2. TTDDA additive concentration 17.2 mM. Text is fragmented and incomplete.,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2019_10.1038s41467-019-10612-3_Unveiling_the_synergistic_effect_of_precursor_stoichiometry_and_interfacial_reactions_for_perovskite_light-em.pdf,ok,CsI;FAI;MAI;PbI2,DMF,0.115 M;0.15 M;17.2 mM,2.5:1
MAPbI3,"['MAI', 'PbI2']",['DMF'],,1,['N-cyclohexyl-2-pyrrolidone'],,,,high,1 M MAPbI3/DMF solution explicitly stated in Fig. 9(b). NCP added as mediator/additive for intermediate phase formation in wire-bar coating process.,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2019_10.1039c9ta11245f_Nucleation_and_crystal_growth_control_for_scalable_solution-processed_organicinorganic_hybrid_perovskite_solar_cells.pdf,ok,MAI;PbI2,DMF;DMSO,1 M,5:22
,[],[],,,[],,,,low,"Text contains device fabrication details (ETL, electrodes, substrate cleaning) but no perovskite precursor ink formulation information. No precursor chemicals, solvents, or stoichiometric composition provided.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2020_10.1038s41467-020-16831-3_Bio-inspired_vertebral_design_for_scalable_and_flexible_perovskite_solar_cells.pdf,ok,PbBr2;PbI2,DMF;DMSO;ethanol,10 mm;3 mm,11:3016
,[],[],,,[],,,,low,"Text contains no perovskite ink formulation. Content describes electrochemical characterization of Ir black catalyst suspension (water, isopropyl alcohol, Nafion) for half-cell measurements. Not a halide perovskite precursor ink.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2020_10.1038s41467-020-18686-0_Highly_efficient_oxygen_evolution_reaction_via_facile_bubble_transport_realized_by_three-dimensionally_stack-.pdf,ok,,,,
,[],['DMSO'],,,[],,,,low,"Text discusses solvent toxicity and green solvent engineering but does not provide a complete perovskite ink formulation. Only DMSO is mentioned as a solvent. No precursor chemicals, stoichiometry, molarity, or processing parameters are specified in the provided excerpt.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2024_10.1038s41377-024-01461-x_Achievements_challenges_and_future_prospects_for_industrialization_of_perovskite_solar_cells.pdf,ok,PbI2,DMF;DMSO;GBL;NMP,,13:227
FAPbI3,"['PbI2', 'FAI', 'MABr', 'MACl']","['DMF', 'DMSO']",4:1,1.4,"['MABr', 'MACl']",50,30min,,high,FAPbI3 base with MABr and MACl as additives for cation alloying. PbI2 solution prepared at 70°C for 12h; perovskite seed solution stirred at 50°C for 30min. Two-step sequential deposition method used.,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2018_10.1038s41467-018-04029-7_Perovskite_seeding_growth_of_formamidinium-lead-iodide-based_perovskites_for_efficient_and_stable_solar_cells.pdf,ok,FAI;MABr;MACl;PbI2,DMF;DMSO;IPA,1.4 M,4:1
,[],[],,,[],,,,low,"Text discusses organic photovoltaics (OPV) with polymer semiconductors and acceptors (PCBM, IDTBR, Y6, ITIC). No halide perovskite precursor ink formulation present.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2021_10.10882058-8585abf986_The_2021_flexible_and_printed_electronics_roadmap.pdf,ok,,,1 m;172 mm;40 m;6 m;600 m,
FA0.95MA0.05PbI2.85Br0.15,"['FAPbI3', 'MAPbBr3']","['DMF', 'DMSO']",8:1,1.1,['MACl'],,,,high,"Molarity calculated from 889 mg/mL FAPbI3 (MW 585.8 g/mol) ≈ 1.52 M + 33 mg/mL MAPbBr3 (MW 367.3 g/mol) ≈ 0.09 M, total ~1.1 M primary cation-halide precursor. Stoichiometry derived from (FAPbI3)0.95(MAPbBr3)0.05 composition.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2020_10.1021acsenergylett.0c01566_Bifunctional_Surface_Engineering_on_SnO2_Reduces_Energy_Loss_in_Perovskite_Solar_Cells.pdf,ok,MACl,DMF;DMSO;IPA,0.012 M;0.08 M,1:3;8:1;v/v
CsPbI3-xBrx with DMAI,"['DMAI', 'CsI', 'PbBr2', 'PbI2', 'PbCl2']","['DMF', 'DMSO']",1:1.4,0.95,[],60,2h,0.22,high,Wide-bandgap perovskite; molar ratio DMAI:CsI:PbBr2:PbI2:PbCl2 = 0.9:1:0.45:0.55:0.1; text also mentions narrow-bandgap FA0.7MA0.3Pb0.5Sn0.5I3 but extraction focused on first complete formulation,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2023_10.1038s41560-023-01250-7_Inorganic_wide-bandgap_perovskite_subcells_with_dipole_bridge_for_all-perovskite_tandems.pdf,ok,CsI;FAI;MAI;PEAI;PbBr2;PbCl2;PbI2;SnI2,DMF;DMSO;IPA,0.95 M;2.0 M,0.45:0.55;0.5:0.5;0.7:0.3;0.9:1;1:1;1:1.4;2:1
Cs0.05FA0.78MA0.17Pb(I0.83Br0.17)3,"['FAI', 'MABr', 'PbI2', 'PbBr2', 'CsI']","['DMF', 'DMSO']",4:1,1.1,[],,,,high,"Primary perovskite formulation extracted. FAI at 1 M, MABr at 0.2 M, PbI2 at 1.1 M, PbBr2 at 0.22 M in DMF:DMSO 4:1 v/v. CsI (1.5 M in DMSO) added separately. Molarity reported as PbI2 concentration.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2020_10.1038s41586-020-2184-1_Performance-limiting_nanoscale_trap_clusters_at_grain_junctions_in_halide_perovskites.pdf,ok,CsI;FAI;MABr;MAI;PbBr2;PbI2,DMF;DMSO,0.2 M;0.22 M;1 M;1.1 M;1.32 M;1.5 M;3mm,2:1;4:1
CH3NH3PbBr3,"['PbBr2', 'CH3NH3Br']","['DMF', 'γ-butyrolactone']",0.5:8.5,,['octylamine'],,,,high,Solvent ratio expressed as mL volumes (0.5 mL DMF : 8.5 mL γ-butyrolactone); octylamine added as 15 μL to the mixed solvent; molarity not explicitly stated in precursor solution description,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2016_10.1021acsnano.6b01540_High-Efficiency_Light-Emitting_Diodes_of_Organometal_Halide_Perovskite_Amorphous_Nanoparticles.pdf,ok,PbBr2;PbCl2,DMF;ethanol,,17:1;1:1
,,,,,,,,,,,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2019_10.1038s41467-019-09167-0_A_chemically_inert_bismuth_interlayer_enhances_long-term_stability_of_inverted_perovskite_solar_cells.pdf,error:Expecting value: line 43 column 26 (char 1223),,,,
,[],[],,,[],,,,low,Text is about the Perovskite Database project and data collection methodology. No perovskite ink formulation details are present.,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2021_10.1038s41560-021-00941-3_An_open-access_database_and_analysis_tool_for_perovskite_solar_cells_based_on_the_FAIR_data_principles.pdf,ok,,,,
